PDC ,Nation 1,Capital,Latitude,Longitude,Elevation,Vehicles per 1000 people,Energy/passenger-km (kWh/p-km)
Teru,China,"Beijing
",39°55′N ,116°23′E,142.7,128,
Norma,India,New Delhi,28°36′50″N 77°12′30″E,28°36′50″N 77°12′30″E,709,18,
Eurydice,United States,"Washington, D.C.",38°53′N 77°01′W,38°53′N 77°01′W,409,809,
Nephele,Papua New Guinea,Port Moresby,09°28′44″S,147°08′58″E,115,,
Neptune ,Serbia,Belgrade ,44°48′N, 20°28′E,384,,
Nepenthe,Israel,Jerusalem,31°47′N,35°13′E,"2,474",,
Janus,Switzerland,Bern,46°57′N,7°27′E,"1,770",,
Hydra,Togo,Lomé,6°8′N,1°13′E,30,,
Andromeda ,Indonesia,Jakarta,6°12′S,106°49′E,26,,
Cassiopeia ,Pakistan,Islamabad,33°41′30″N ,73°03′00″E,"1,610",,
Agnes,Brazil,Brasília,15°47′38″S,47°52′58″W,"3,845",249,
Clarence,Sierra Leone,Freetown,8°29′4″N ,13°14′4″W,85,,
Marie Antoinette,Nigeria,Abuja,9°4′N,7°29′E,"1,180",,
Princess Lambella ,Bangladesh,Dhaka,23°45′50″N,90°23′20″E,13.12,,
Cassandra ,Mexico,Mexico City,19°26′N 99°8′W,19°26′N 99°8′W,"7,350",,
Wild,Japan,Tokyo,35°41′N,139°46′E,"6,617",,
Guebers,Laos,Vientiane,14° and 23°N (a,100° and 108°E.,"9,245",,
Medusa,Paraguay,Asunción,25°16′S,57°40′W,,,
Lethe,Libya,Tripoli,32°53′14″N ,13°11′29″E,266,,
Flora,Lebanon,Lebanon,33°53′13″N 35°30′47″E,33°53′13″N 35°30′47″E,1,,
Clytemnestra,Russia,Moscow,55°45′21″N 37°37′2″E,55°45′21″N 37°37′2″E,850,,
Napoleon,Bulgaria,Sofia,42.70°N, 23.33°E,"7,726",,
Kathy Lee Bates,Ethiopia,Addis Ababa,9°1′48″N,38°44′24″E,"7,726",,
Pandora,Philippines,Manila,14°36′N ,120°59′E,23,,
Cicily Hook ,Egypt,Cairo,30°2′N,31°14′E,75,,
Cybele,Nicaragua,Managua,12°6′N,86°14′W,75,,
Cyclopes,Kyrgyzstan,Bishkek,42°52′29″N ,74°36′44″E,"2,600",,
Daphne,El Salvador,San Salvador,13°41′56″N,89°11′29″W,"2,159",,
Clotho II,Turkmenistan,Ashgabat,37°58′N,58°20′E,719,,
Circe,Singapore,Singapore,"1° 18' 52.79"" N","103° 50' 43.47"" E",75,,
Chryselis,Denmark,Copenhagen,55°40′34″N 12°34′06″E,55°40′34″N 12°34′06″E,3,,
Proserpine ,Vietnam,Hanoi,21°2′N,105°51′E,"4,252",,
Agatha,DR Congo,Capital: Kinshasa,23°35′20″N,15°19′20″E,790,,
Ancilla ,Turkey,Ankara,39°55′48″N ,32°51′00″E,"3,077",,
Pasiphae ,Iran,Tehran,35°41′21″N, 51°23′20″E,"2,952",,
Jerome,Finland,Helsink,60°10′N,24°56′E,50,,
Agave ,Germany,Berlin,52°31′N,13°23′E,112,13084800,
